127.0.0.1 - - [29/May/2019:14:14:28 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [29/May/2019:14:15:13 +0530] "GET /LocRecommendation/index.jsp HTTP/1.1" 200 3655
0:0:0:0:0:0:0:1 - - [29/May/2019:14:15:15 +0530] "GET /LocRecommendation/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [29/May/2019:14:15:15 +0530] "GET /LocRecommendation/vendor/jquery/jquery.min.js HTTP/1.1" 200 86351
0:0:0:0:0:0:0:1 - - [29/May/2019:14:15:15 +0530] "GET /LocRecommendation/vendor/morrisjs/morris.css HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [29/May/2019:14:15:15 +0530] "GET /LocRecommendation/vendor/metisMenu/metisMenu.min.css HTTP/1.1" 200 781
0:0:0:0:0:0:0:1 - - [29/May/2019:14:15:15 +0530] "GET /LocRecommendation/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [29/May/2019:14:15:15 +0530] "GET /LocRecommendation/dist/css/sb-admin-2.css HTTP/1.1" 200 8420
0:0:0:0:0:0:0:1 - - [29/May/2019:14:15:16 +0530] "GET /LocRecommendation/vendor/metisMenu/metisMenu.min.js HTTP/1.1" 200 1879
0:0:0:0:0:0:0:1 - - [29/May/2019:14:15:16 +0530] "GET /LocRecommendation/vendor/raphael/raphael.min.js HTTP/1.1" 200 92516
0:0:0:0:0:0:0:1 - - [29/May/2019:14:15:16 +0530] "GET /LocRecommendation/vendor/morrisjs/morris.min.js HTTP/1.1" 200 35652
0:0:0:0:0:0:0:1 - - [29/May/2019:14:15:16 +0530] "GET /LocRecommendation/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [29/May/2019:14:15:16 +0530] "GET /LocRecommendation/data/morris-data.js HTTP/1.1" 200 2536
0:0:0:0:0:0:0:1 - - [29/May/2019:14:15:16 +0530] "GET /LocRecommendation/data/uu.png HTTP/1.1" 200 50490
0:0:0:0:0:0:0:1 - - [29/May/2019:14:15:16 +0530] "GET /LocRecommendation/dist/js/sb-admin-2.js HTTP/1.1" 200 1626
0:0:0:0:0:0:0:1 - - [29/May/2019:14:15:24 +0530] "GET /LocRecommendation/vendor/font-awesome/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 200 71896
0:0:0:0:0:0:0:1 - - [29/May/2019:14:15:25 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [29/May/2019:14:15:28 +0530] "GET /LocRecommendation/UserLogin.jsp HTTP/1.1" 200 5332
0:0:0:0:0:0:0:1 - - [29/May/2019:14:15:43 +0530] "GET /LocRecommendation/UserRegistration.jsp HTTP/1.1" 200 7027
0:0:0:0:0:0:0:1 - - [29/May/2019:14:18:28 +0530] "GET /LocRecommendation/UserRegistration.jsp HTTP/1.1" 200 7028
0:0:0:0:0:0:0:1 - - [29/May/2019:14:18:28 +0530] "GET /LocRecommendation/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2019:14:18:28 +0530] "GET /LocRecommendation/vendor/morrisjs/morris.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2019:14:18:28 +0530] "GET /LocRecommendation/dist/css/sb-admin-2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2019:14:18:28 +0530] "GET /LocRecommendation/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2019:14:18:28 +0530] "GET /LocRecommendation/vendor/metisMenu/metisMenu.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2019:14:18:28 +0530] "GET /LocRecommendation/vendor/metisMenu/metisMenu.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2019:14:18:28 +0530] "GET /LocRecommendation/vendor/morrisjs/morris.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2019:14:18:28 +0530] "GET /LocRecommendation/vendor/raphael/raphael.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2019:14:18:28 +0530] "GET /LocRecommendation/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2019:14:18:28 +0530] "GET /LocRecommendation/data/morris-data.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2019:14:18:28 +0530] "GET /LocRecommendation/dist/js/sb-admin-2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2019:14:18:28 +0530] "GET /LocRecommendation/vendor/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2019:14:18:28 +0530] "GET /LocRecommendation/vendor/font-awesome/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2019:14:18:32 +0530] "GET /LocRecommendation/UserRegistration.jsp HTTP/1.1" 200 7028
0:0:0:0:0:0:0:1 - - [29/May/2019:14:19:13 +0530] "POST /LocRecommendation/UserRegistrationController HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [29/May/2019:14:19:17 +0530] "GET /LocRecommendation/UserLogin.jsp HTTP/1.1" 200 5332
0:0:0:0:0:0:0:1 - - [29/May/2019:14:19:19 +0530] "GET /LocRecommendation/AdminLogin.jsp HTTP/1.1" 200 3776
0:0:0:0:0:0:0:1 - - [29/May/2019:14:19:19 +0530] "GET /LocRecommendation/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2019:14:19:19 +0530] "GET /LocRecommendation/vendor/metisMenu/metisMenu.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2019:14:19:19 +0530] "GET /LocRecommendation/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2019:14:19:19 +0530] "GET /LocRecommendation/dist/css/sb-admin-2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2019:14:19:19 +0530] "GET /LocRecommendation/vendor/morrisjs/morris.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2019:14:19:19 +0530] "GET /LocRecommendation/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2019:14:19:19 +0530] "GET /LocRecommendation/vendor/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2019:14:19:19 +0530] "GET /LocRecommendation/vendor/metisMenu/metisMenu.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2019:14:19:19 +0530] "GET /LocRecommendation/vendor/raphael/raphael.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2019:14:19:19 +0530] "GET /LocRecommendation/vendor/morrisjs/morris.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2019:14:19:19 +0530] "GET /LocRecommendation/data/morris-data.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2019:14:19:19 +0530] "GET /LocRecommendation/dist/js/sb-admin-2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2019:14:19:27 +0530] "POST /LocRecommendation/AdminLoginController HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [29/May/2019:14:19:29 +0530] "GET /LocRecommendation/AdminHome.jsp HTTP/1.1" 200 4289
0:0:0:0:0:0:0:1 - - [29/May/2019:14:19:29 +0530] "GET /LocRecommendation/data/aa.jpg HTTP/1.1" 200 10347
0:0:0:0:0:0:0:1 - - [29/May/2019:14:19:32 +0530] "GET /LocRecommendation/ViewUsers.jsp HTTP/1.1" 200 5649
0:0:0:0:0:0:0:1 - - [29/May/2019:14:19:32 +0530] "GET /LocRecommendation/profilepic.jsp?id=3 HTTP/1.1" 200 880262
0:0:0:0:0:0:0:1 - - [29/May/2019:14:19:35 +0530] "GET /LocRecommendation/UserStatusController?id=3&status=InActive HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [29/May/2019:14:19:37 +0530] "GET /LocRecommendation/ViewUsers.jsp HTTP/1.1" 200 5645
0:0:0:0:0:0:0:1 - - [29/May/2019:14:19:37 +0530] "GET /LocRecommendation/profilepic.jsp?id=3 HTTP/1.1" 200 880262
0:0:0:0:0:0:0:1 - - [29/May/2019:14:19:39 +0530] "GET /LocRecommendation/AddLocation.jsp HTTP/1.1" 200 5113
0:0:0:0:0:0:0:1 - - [29/May/2019:14:19:40 +0530] "GET /LocRecommendation/AddReviews.jsp HTTP/1.1" 200 4321
0:0:0:0:0:0:0:1 - - [29/May/2019:14:19:42 +0530] "GET /LocRecommendation/LocationDetails.jsp HTTP/1.1" 200 78001
0:0:0:0:0:0:0:1 - - [29/May/2019:14:19:43 +0530] "GET /LocRecommendation/profilepic2.jsp?id=2 HTTP/1.1" 200 7848
0:0:0:0:0:0:0:1 - - [29/May/2019:14:19:43 +0530] "GET /LocRecommendation/profilepic2.jsp?id=1 HTTP/1.1" 200 10861
0:0:0:0:0:0:0:1 - - [29/May/2019:14:19:43 +0530] "GET /LocRecommendation/profilepic2.jsp?id=6 HTTP/1.1" 200 13621
0:0:0:0:0:0:0:1 - - [29/May/2019:14:19:43 +0530] "GET /LocRecommendation/profilepic2.jsp?id=5 HTTP/1.1" 200 13793
0:0:0:0:0:0:0:1 - - [29/May/2019:14:19:43 +0530] "GET /LocRecommendation/profilepic2.jsp?id=8 HTTP/1.1" 200 12596
0:0:0:0:0:0:0:1 - - [29/May/2019:14:19:43 +0530] "GET /LocRecommendation/profilepic2.jsp?id=4 HTTP/1.1" 200 13208
0:0:0:0:0:0:0:1 - - [29/May/2019:14:19:43 +0530] "GET /LocRecommendation/profilepic2.jsp?id=3 HTTP/1.1" 200 8227
0:0:0:0:0:0:0:1 - - [29/May/2019:14:19:43 +0530] "GET /LocRecommendation/profilepic2.jsp?id=7 HTTP/1.1" 200 10945
0:0:0:0:0:0:0:1 - - [29/May/2019:14:19:43 +0530] "GET /LocRecommendation/profilepic2.jsp?id=9 HTTP/1.1" 200 11769
0:0:0:0:0:0:0:1 - - [29/May/2019:14:19:43 +0530] "GET /LocRecommendation/profilepic2.jsp?id=10 HTTP/1.1" 200 7555
0:0:0:0:0:0:0:1 - - [29/May/2019:14:19:43 +0530] "GET /LocRecommendation/profilepic2.jsp?id=12 HTTP/1.1" 200 13151
0:0:0:0:0:0:0:1 - - [29/May/2019:14:19:43 +0530] "GET /LocRecommendation/profilepic2.jsp?id=16 HTTP/1.1" 200 6224
0:0:0:0:0:0:0:1 - - [29/May/2019:14:19:43 +0530] "GET /LocRecommendation/profilepic2.jsp?id=15 HTTP/1.1" 200 10976
0:0:0:0:0:0:0:1 - - [29/May/2019:14:19:43 +0530] "GET /LocRecommendation/profilepic2.jsp?id=13 HTTP/1.1" 200 7847
0:0:0:0:0:0:0:1 - - [29/May/2019:14:19:43 +0530] "GET /LocRecommendation/profilepic2.jsp?id=17 HTTP/1.1" 200 13252
0:0:0:0:0:0:0:1 - - [29/May/2019:14:19:43 +0530] "GET /LocRecommendation/profilepic2.jsp?id=14 HTTP/1.1" 200 14839
